{city: NYC, timestamp: 2026-08-27 20:16:51, temperature_f: 72}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:52, temperature_f: 64}
{city: LA, timestamp: 2026-08-27 20:16:52, temperature_f: 80}
{city: LA, timestamp: 2026-08-27 20:16:53, temperature_f: 80}
{city: NYC, timestamp: 2026-08-27 20:16:53, temperature_f: 72}
{city: NYC, timestamp: 2026-08-27 20:16:54, temperature_f: 72}
{city: LA, timestamp: 2026-08-27 20:16:54, temperature_f: 80}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:55, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:55, temperature_f: 64}
{city: NYC, timestamp: 2026-08-27 20:16:56, temperature_f: 72}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:56, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:57, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-08-27 20:16:58, temperature_f: 64}
{city: LA, timestamp: 2026-08-27 20:16:58, temperature_f: 80}
{city: LA, timestamp: 2026-08-27 20:16:59, temperature_f: 80}
{city: NYC, timestamp: 2026-08-27 20:16:59, temperature_f: 72}
{city: NYC, timestamp: 2026-08-27 20:17:00, temperature_f: 72}
{city: LA, timestamp: 2026-08-27 20:17:00, temperature_f: 80}
{city: Pittsburgh, timestamp: 2026-08-27 20:17:03, temperature_f: 64}
{city: NYC, timestamp: 2026-08-27 20:17:04, temperature_f: 72}
